link,tag,tag_type
https://en.wikipedia.org/wiki/Sustainable_agriculture,Sustainable agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Shade-grown coffee,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Polyculture,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Ecosystem services,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Sustainable food systems,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Environmental footprint,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Climate change,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Greenhouse gas emissions,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Water scarcity,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Water pollution,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Land degradation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Deforestation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Permaculture,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agroforestry,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Mixed farming,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Multiple cropping,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Crop rotation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Land sparing,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Sustainable diets,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Organic certification,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Rainforest Alliance,Organization
https://en.wikipedia.org/wiki/Sustainable_agriculture,Fair Trade,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,UTZ Certified,Organization
https://en.wikipedia.org/wiki/Sustainable_agriculture,GlobalGAP,Organization
https://en.wikipedia.org/wiki/Sustainable_agriculture,Bird Friendly,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Common Code for the Coffee Community (4C),Organization
https://en.wikipedia.org/wiki/Sustainable_agriculture,USDA,Organization
https://en.wikipedia.org/wiki/Sustainable_agriculture,Indigenous communities,Group
https://en.wikipedia.org/wiki/Sustainable_agriculture,Carrying capacity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Planetary boundaries,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Nutrient cycling,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Soil regeneration,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Nitrogen fixation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Pest management,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Irrigation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Reconciliation ecology,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Appropriate technology,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,AI-controlled irrigation systems,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Artificial intelligence (AI),Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agroecology,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Digitalization,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Precision breeding,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agrivoltaics,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Solar panels,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Tilling,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Erosion,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Salinization,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Climate,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Soil,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Nutrients,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Water resources,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Nutrient depletion,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Natural gas,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,Mineral ores,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,Fertilizer,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,Manure,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,Eutrophication,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Rainforest destruction,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Nitrates,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,Legume crops,Plant
https://en.wikipedia.org/wiki/Sustainable_agriculture,Peanuts,Plant
https://en.wikipedia.org/wiki/Sustainable_agriculture,Alfalfa,Plant
https://en.wikipedia.org/wiki/Sustainable_agriculture,Rhizobia,Organism
https://en.wikipedia.org/wiki/Sustainable_agriculture,Haber process,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Hydrogen,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,Electrolysis,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Renewable electricity,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,Phosphorus,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,Phosphate,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,Rock phosphate,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,Peak phosphorus,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Potassium,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,Potassium chloride (KCl),Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,Chloride (Clˉ),Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,Soil salinity,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Soil biodiversity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Biochar,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,Landraces,Plant
https://en.wikipedia.org/wiki/Sustainable_agriculture,Photosynthesis,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Energy transfer,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Signal transduction,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Macromolecular biosynthesis,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Respiration,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Root ramification,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Seed formation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Disease resistance,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Inorganic phosphorus,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,Organic phosphorus,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,Soil biomass,Concept
https://www.nature.com/articles/d41586-025-03353-5,Men,Concept
https://www.nature.com/articles/d41586-025-03353-5,women,Concept
https://www.nature.com/articles/d41586-025-03353-5,brains,Organ
https://www.nature.com/articles/d41586-025-03353-5,Alzheimer’s disease,Disease
https://www.nature.com/articles/d41586-025-03353-5,ageing,Process
https://www.nature.com/articles/d41586-025-03353-5,volume reduction,Process
https://www.nature.com/articles/d41586-025-03353-5,brain regions,Organ
https://www.nature.com/articles/d41586-025-03353-5,longitudinal study,Process
https://www.nature.com/articles/d41586-025-03353-5,Proceedings of the National Academy of Sciences,Concept
https://www.nature.com/articles/d41586-025-03353-5,"Ravndal, A. et al.",Concept
https://www.nature.com/articles/d41586-025-03353-5,neurodegeneration,Process
https://www.nature.com/articles/d41586-025-03353-5,memory loss,Symptom
https://www.nature.com/articles/d41586-025-03353-5,lithium supplement,Drug
https://www.nature.com/articles/d41586-025-03353-5,mice,Organism
https://www.nature.com/articles/d41586-025-03353-5,zombie cells,Concept
https://www.nature.com/articles/d41586-025-03353-5,Huntington’s disease,Disease
https://www.nature.com/articles/d41586-025-03353-5,gene therapy,Process
https://www.nature.com/articles/d41586-025-03353-5,repeated head trauma,Process
https://www.nature.com/articles/d41586-025-03353-5,inflammation,Process
https://www.nature.com/articles/d41586-025-03353-5,brain development,Process
https://www.nature.com/articles/d41586-025-03353-5,stem cells,Cell Type
https://www.nature.com/articles/d41586-025-03353-5,neurons,Cell Type
https://www.nature.com/articles/d41586-025-03353-5,brain activity,Process
https://www.nature.com/articles/d41586-025-03353-5,AI,Concept
https://www.nature.com/articles/d41586-025-03353-5,Nature Briefing,Concept
https://www.nature.com/articles/d41586-025-03353-5,Nature,Concept
https://www.nature.com/articles/d41586-025-03353-5,Springer Nature Limited,Concept
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,auditory task switching,Process
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,overlapping response sets,Concept
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,non-overlapping response sets,Concept
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,task preparation,Process
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,cued auditory task switching,Process
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,pitch,Stimulus dimension
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,loudness,Stimulus dimension
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,low,Semantic category
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,high,Semantic category
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,manual responses,Response modality
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,vocal responses,Response modality
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,congruency effect,Concept
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,switch costs,Concept
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,cue-stimulus interval (CSI),Concept
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,task shielding,Concept
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,bivalent responses,Concept
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,univalent responses,Concept
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,stimulus–response mappings,Concept
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,cognitive operation,Process
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,distractor processing,Process
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,response times (RTs),Measure
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,error rates,Measure
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,exogenous cuing of task set,Concept
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,"Nolden and Koch, 2022",Citation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,"Meiran, 1996",Citation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,"Rogers & Monsell, 1995",Citation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,"Koch et al., 2018",Citation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,"Kiesel et al., 2010",Citation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,"Yeung and Monsell, 2003",Citation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,"Brass et al., 2003",Citation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,"Goschke, 2013",Citation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,"Nolden & Koch, 2017",Citation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,"Seibold et al., 2019",Citation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,"Huebner et al., 2004",Citation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,"Allport et al., 1994",Citation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,"Nolden et al., 2019",Citation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,RWTH Aachen University,Organization
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,Goethe-University Frankfurt,Organization
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,National Institutes of Health,Organization
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,NLM,Organization
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,PMC,Database
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10457221/,Creative Commons Attribution 4.0 International License,License
https://www.fao.org/3/y4671e/y4671e06.htm,food security,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,chronic food insecurity,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,transitory food insecurity,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,trade liberalization,Process
https://www.fao.org/3/y4671e/y4671e06.htm,2002 food crisis in Southern Africa,Event
https://www.fao.org/3/y4671e/y4671e06.htm,World Food Summit (WFS),Event
https://www.fao.org/3/y4671e/y4671e06.htm,World Food Conference of 1974,Event
https://www.fao.org/3/y4671e/y4671e06.htm,Green Revolution,Process
https://www.fao.org/3/y4671e/y4671e06.htm,famine,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,hunger,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,food crisis,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,vulnerable people,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,malnutrition,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,poverty,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,World Bank,Organization
https://www.fao.org/3/y4671e/y4671e06.htm,FAO,Organization
https://www.fao.org/3/y4671e/y4671e06.htm,UNDP,Organization
https://www.fao.org/3/y4671e/y4671e06.htm,WIDER,Organization
https://www.fao.org/3/y4671e/y4671e06.htm,Amartya Sen,Person
https://www.fao.org/3/y4671e/y4671e06.htm,human security,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,human rights,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,social security,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,food safety,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,nutritional balance,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,protein-energy malnutrition,Disease
https://www.fao.org/3/y4671e/y4671e06.htm,dietary needs,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,food preferences,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,household food security,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,dietary energy requirements,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,food balance sheets,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,consumer expenditure data,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,poverty lines,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,extreme poverty,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,agricultural productivity growth,Process
https://www.fao.org/3/y4671e/y4671e06.htm,agricultural trade regime,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,HIV/AIDS,Disease
https://www.fao.org/3/y4671e/y4671e06.htm,malaria,Disease
https://www.fao.org/3/y4671e/y4671e06.htm,tuberculosis,Disease
https://www.fao.org/3/y4671e/y4671e06.htm,Southern Africa,Location
https://www.fao.org/3/y4671e/y4671e06.htm,Malawi,Location
https://www.fao.org/3/y4671e/y4671e06.htm,Brazil,Location
https://www.fao.org/3/y4671e/y4671e06.htm,India,Location
https://www.fao.org/3/y4671e/y4671e06.htm,Nigeria,Location
https://www.fao.org/3/y4671e/y4671e06.htm,Russian Federation,Location
https://www.fao.org/3/y4671e/y4671e06.htm,Punjab,Location
https://www.fao.org/3/y4671e/y4671e06.htm,Haryana,Location
https://www.fao.org/3/y4671e/y4671e06.htm,Northern Nigeria,Location
https://www.fao.org/3/y4671e/y4671e06.htm,Guatemala,Location
https://www.fao.org/3/y4671e/y4671e06.htm,drought,Event
https://www.fao.org/3/y4671e/y4671e06.htm,economic shock,Event
https://www.fao.org/3/y4671e/y4671e06.htm,humanitarian problem,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,food production data,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,roots and tubers,Food
https://www.fao.org/3/y4671e/y4671e06.htm,cereals,Food
https://www.fao.org/3/y4671e/y4671e06.htm,staple foods,Food
https://www.fao.org/3/y4671e/y4671e06.htm,nutrients,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,health situation,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,economically active adult population,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,human capital,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,international consultation,Process
https://www.fao.org/3/y4671e/y4671e06.htm,policy analyses,Process
https://www.fao.org/3/y4671e/y4671e06.htm,public action,Process
https://www.fao.org/3/y4671e/y4671e06.htm,international development policy,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,national responsibility,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,international responsibility,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,cross-country comparisons,Process
https://www.fao.org/3/y4671e/y4671e06.htm,regional analyses,Process
https://www.fao.org/3/y4671e/y4671e06.htm,national survey estimate,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,temporal dynamics,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,entitlements,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,physical access,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,economic access,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,social access,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,active and healthy life,Concept
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Tramadol,Drug
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Chronic Pain,Disease
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Opioid,Drug
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Serotonin,Concept
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Norepinephrine,Concept
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Morphine,Drug
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Cardiac complications,Disease
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Chest pain,Disease
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Coronary artery disease,Disease
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Heart failure,Disease
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Nausea,Disease
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Dizziness,Disease
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Constipation,Disease
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Drowsiness,Disease
